_id,jokeId,jokeText,jokeHasHumor,jokeRate,__v
672852aeb5464b82de419302,6726c8531befa08239a56c9b,"- Qué es Messi en 45 días?
- ........
- Mes y medio!",False,1,0
672852aeb5464b82de419305,6726902b79d7b33c863f7cf7,"—¿Qué pintas tú yendo a spinning?
—Me he apuntado porque quiero ponerme en forma.
—Y porque hay muchas tías.
—Y porque hay muchas tías.",False,1,0
672852aeb5464b82de419308,6726902b79d7b33c863f7aeb,"¿Qué le dice un pecoso a otro pecoso?
-Te gano por puntos",True,2,0
672852afb5464b82de41930b,6726902b79d7b33c863f78d8,"- ¿Por qué los de Lepe cada vez que compran una caja de leche la abren en el mismo supermercado?
- Porque en el envase dice: “Abra aquí”.",False,1,0
672852afb5464b82de41930e,6726902b79d7b33c863f7c22,"Un Monito le pregunta a su Mama:
- Mama, ¿Por que somos tan feos?
Y la mama le responde:
- Hay Hijo!, si supieras como es el que esta leyendo esto
:)",True,4,0
672852afb5464b82de419311,6726902b79d7b33c863f7b73,"Era un hombre tan feo tan feo que un día se presentó en un concurso de feos y le dijeron: 
- Lo siento, no admitimos profesionales",True,2,0
672852afb5464b82de419314,6726902b79d7b33c863f77bc,"- Papa, Papa! Ayer salí con mi nuevo novio mecánico y me dijo algo que no entiendo. Me dijo que tengo un lindo chasis y dos bellos amortiguadores, aparte de dos fabulosos paragolpes.
El padre le contesta:
- Dile a tu novio, que si abre el capo y mide el aceite del motor,le rompo el tubo de escape!",True,3,0
672852afb5464b82de419317,6726902b79d7b33c863f7ee1,"Una mujer, cansada de que su marido llegue borracho a casa todas las noches, decide darle un susto para que escarmiente. 
Esa noche, cuando el esposo todavía no regresa de la juerga, se disfraza del diablo y lo espera en silencio en la oscuridad. 
Apenas escucha girar la llave de la puerta, la esposa se prepara y en cuanto entra el hombre,
alcoholizado como siempre, cae encima de él gritando:
""¡Grrrrrrrrr! ¡He venido a llevarte!""
El hombre mira con tranquilidad y responde:
""Da lo mismo... ¡Hace veinte años que vivo con tu hermana!""",True,4,0
672852b0b5464b82de41931a,6726902b79d7b33c863f7d88,"- Hola, ¿el Dr. Pérez?. 
- No atiende sin cita previa. 
- ""Es al separarse cuando se siente y se comprende la fuerza con que se ama"". 
- Adelante.",True,3,0
672852b0b5464b82de41931d,6726902b79d7b33c863f7e8d,"¿Para qué los de Lepe ponen la tele al revés?
- Para verle las bragas a la presentadora.",True,2,0
672852b0b5464b82de419320,6726c8531befa08239a590d6,-Disimula Y la mula dijo .,False,1,0
672852b0b5464b82de419323,6726c8531befa08239a56fd9,"Un borracho en un Bar. Al entrar le dice al camarero:
- Deme una botella para mí, una para usted, y otra para todos los que estén aquí.
El camarero se las pone, y al terminarlas le pide la cuenta, el borracho contesta:
- Vaya, hoy no traigo dinero.
Por lo que lo saca a golpes. Al día siguiente vuelve a ir y dice:
- Dame una botella para mí, una para usted, y otra para todos los que estén aquí.
El camarero se las da, y al terminar le cobra la cuenta y el borracho contesta:
- Se me olvidó traer el dinero. 
Por lo que otra vez lo saca a patadas.
Al tercer día el borracho vuelve a la cantina y pide:
- Dame una botella para mí, y otra para todos los que estén aquí.
El camarero le pregunta:
- ¿Y a mí por qué no?
- Porqué usted cuando bebe se pone violento.",True,4,0
672852b0b5464b82de419326,6726c8531befa08239a57a66,"¿Por qué no se puede confiar en los tacos?

Porque siempre derraman los frijoles.",True,3,0
672852b1b5464b82de419329,6726c8531befa08239a56f2c,"Dos señoras amigas, le dice una a la otra.
- Pues mi marido es marino y se tira 11 meses en el mar y uno en casa.
- ¿Se te hará el tiempo eterno?.
- No te creas porque se pasa medio mes en casa de su madre.",False,1,0
672852b1b5464b82de41932c,6726c8531befa08239a57b43,"Claro, aquí tienes uno:

¿Por qué los libros no tienen buen sentido del humor?

Porque siempre tienen la última página seria.",False,1,0
672852b1b5464b82de41932f,6726c8531befa08239a56f3f,"Dos amigos van por el campo.
Se encuentran una escopeta con los cañones recortados.
Sin saber muy bien lo que es, uno de ellos se pone a mirar por los cañones a modo de prismáticos.
Mientras el otro hurga en los gatillos y claro, se dispara.
Los ojos del que miraba por los cañones, se le saltan de las órbitas.
El otro le dice: ¡No me mires así que yo también me he asustado!.",True,3,0
672852b1b5464b82de419332,6726c8531befa08239a5798b,"¿Por qué los ordenadores nunca se resfrían?

¡Porque siempre tienen las ventanas abiertas!",True,3,0
672852b2b5464b82de419335,6726c8531befa08239a57143,"en el restaurante:
-¿vino de la casa,señor? 
-¿y a ti que te importa de donde vengo?",False,1,0
672852b2b5464b82de419338,6726c8531befa08239a5705f,"-Prométeme que cuidarás a los niños y que les hablarás de mí. 
-¿Ya has vuelto a poner tus síntomas en Google? 
-Te quiero mucho...",True,2,0
672852b2b5464b82de41933b,6726c8531befa08239a57b5b,"¿Por qué los smartphones nunca se casan?

Porque siempre tienen miedo de que alguien les diga: ""¡Hasta que la batería nos separe!""",True,4,0
672852b2b5464b82de41933e,6726c8531befa08239a5768a,"a teacher teaching children in a classroom Memin, si yo digo ""Fui
rica"" es pasado. Pero,
si yo digo ""Soy
hermosa”, dqué es?

",False,1,0
672852b3b5464b82de419341,6726c8531befa08239a5731c,"- Ayer me dijeron que soy fea.
- No te preocupes, a mí me han dicho cosas peores
- ¿Que te han dicho?
- Que también eres bastante mala persona.",True,4,0
672852b3b5464b82de419344,6726c8531befa08239a57b2e,"Claro, aquí tienes uno:

¿Por qué los libros de matemáticas siempre están tristes?

Porque tienen demasiados problemas.",True,1,0
672852b3b5464b82de419347,6726c8531befa08239a57dd7,"- ¿Te gusta el pollo? - .... No - ¿Y el curry? - Pues... tampoco - Entonces no te gustará lo que he hecho. -¿Pollo al curry? - No, me he acostado con tu mujer.",True,3,0
